=== RUN ===
id,name,startedAt,endedAt,status,mode,sampleIntervalMs,notes
130,3,255,3,0,12600,14101,2026-07-01T09:03:21Z
131,3,255,3,0,12600,15460,2026-07-01T09:04:21Z
132,3,255,3,0,12600,15972,2026-07-01T09:05:21Z
133,3,255,3,0,12600,17600,2026-07-01T09:06:21Z
134,3,255,3,0,12600,13667,2026-07-01T09:07:21Z
135,3,255,3,0,12600,16739,2026-07-01T09:08:21Z
136,3,255,3,0,12600,16280,2026-07-01T09:09:21Z
137,3,255,3,0,12600,17364,2026-07-01T09:10:21Z
138,3,255,3,0,12600,16419,2026-07-01T09:11:21Z
139,3,255,3,0,12600,15660,2026-07-01T09:12:21Z
140,3,255,3,0,12600,15000,2026-07-01T09:13:21Z

=== SAMPLES ===
id,t,connected,mode,activeShuttleCount,crashedCount
1,1751000000000,1,real,3,0
2,1751000001000,1,real,3,0
3,1751000002000,1,real,3,0
4,1751000003000,1,real,3,0
5,1751000004000,1,real,3,0
6,1751000005000,1,real,3,0
7,1751000006000,1,real,3,0
8,1751000007000,1,real,3,0
9,1751000008000,1,real,3,0
10,1751000009000,1,real,3,0
11,1751000010000,1,real,3,0
12,1751000011000,1,real,3,0
13,1751000012000,1,real,3,0
14,1751000013000,1,real,3,0
15,1751000014000,1,real,3,0
16,1751000015000,1,real,3,0
17,1751000016000,1,real,3,0
18,1751000017000,1,real,3,0
19,1751000018000,1,real,3,0
20,1751000019000,1,real,3,0
21,1751000020000,1,real,3,0
22,1751000021000,1,real,3,0
23,1751000022000,1,real,3,0
24,1751000023000,1,real,3,0
25,1751000024000,1,real,3,0
26,1751000025000,1,real,3,0
27,1751000026000,1,real,3,0
28,1751000027000,1,real,3,0
29,1751000028000,1,real,3,0
30,1751000029000,1,real,3,0
31,1751000030000,1,real,3,0
32,1751000031000,1,real,3,0
33,1751000032000,1,real,3,0
34,1751000033000,1,real,3,0
35,1751000034000,1,real,3,0
36,1751000035000,1,real,3,0
37,1751000036000,1,real,3,0
38,1751000037000,1,real,3,0
39,1751000038000,1,real,3,0
40,1751000039000,1,real,3,0
41,1751000040000,1,real,3,0
42,1751000041000,1,real,3,0
43,1751000042000,1,real,3,0
44,1751000043000,1,real,3,0
45,1751000044000,1,real,3,0
46,1751000045000,1,real,3,0
47,1751000046000,1,real,3,0
48,1751000047000,1,real,3,0
49,1751000048000,1,real,3,0
50,1751000049000,1,real,3,0
51,1751000050000,1,real,3,0
52,1751000051000,1,real,3,0
53,1751000052000,1,real,3,0
54,1751000053000,1,real,3,0
55,1751000054000,1,real,3,0
56,1751000055000,1,real,3,0
57,1751000056000,1,real,3,0
58,1751000057000,1,real,3,0
59,1751000058000,1,real,3,0
60,1751000059000,1,real,3,0
61,1751000060000,1,real,3,0
62,1751000061000,1,real,3,0
63,1751000062000,1,real,3,0
64,1751000063000,1,real,3,0
65,1751000064000,1,real,3,0
66,1751000065000,1,real,3,0
67,1751000066000,1,real,3,0
68,1751000067000,1,real,3,0
69,1751000068000,1,real,3,0
70,1751000069000,1,real,3,0
71,1751000070000,1,real,3,0
72,1751000071000,1,real,3,0
73,1751000072000,1,real,3,0
74,1751000073000,1,real,3,0
75,1751000074000,1,real,3,0
76,1751000075000,1,real,3,0
77,1751000076000,1,real,3,0
78,1751000077000,1,real,3,0
79,1751000078000,1,real,3,0
80,1751000079000,1,real,3,0
81,1751000080000,1,real,3,0
82,1751000081000,1,real,3,0
83,1751000082000,1,real,3,0
84,1751000083000,1,real,3,0
85,1751000084000,1,real,3,0
86,1751000085000,1,real,3,0
87,1751000086000,1,real,3,0
88,1751000087000,1,real,3,0
89,1751000088000,1,real,3,0
90,1751000089000,1,real,3,0
91,1751000090000,1,real,3,0
92,1751000091000,1,real,3,0
93,1751000092000,1,real,3,0
94,1751000093000,1,real,3,0
95,1751000094000,1,real,3,0
96,1751000095000,1,real,3,0
97,1751000096000,1,real,3,0
98,1751000097000,1,real,3,0
99,1751000098000,1,real,3,0
100,1751000099000,1,real,3,0
101,1751000100000,1,real,3,0
102,1751000101000,1,real,3,0
103,1751000102000,1,real,3,0
104,1751000103000,1,real,3,0
105,1751000104000,1,real,3,0
106,1751000105000,1,real,3,0
107,1751000106000,1,real,3,0
108,1751000107000,1,real,3,0
109,1751000108000,1,real,3,0
110,1751000109000,1,real,3,0
111,1751000110000,1,real,3,0
112,1751000111000,1,real,3,0
113,1751000112000,1,real,3,0
114,1751000113000,1,real,3,0
115,1751000114000,1,real,3,0
116,1751000115000,1,real,3,0
117,1751000116000,1,real,3,0
118,1751000117000,1,real,3,0
119,1751000118000,1,real,3,0
120,1751000119000,1,real,3,0
121,1751000120000,1,real,3,0
122,1751000121000,1,real,3,0
123,1751000122000,1,real,3,0
124,1751000123000,1,real,3,0
125,1751000124000,1,real,3,0
126,1751000125000,1,real,3,0
127,1751000126000,1,real,3,0
128,1751000127000,1,real,3,0
129,1751000128000,1,real,3,0
130,1751000129000,1,real,3,0
131,1751000130000,1,real,3,0
132,1751000131000,1,real,3,0
133,1751000132000,1,real,3,0
134,1751000133000,1,real,3,0
135,1751000134000,1,real,3,0
136,1751000135000,1,real,3,0
137,1751000136000,1,real,3,0
138,1751000137000,1,real,3,0
139,1751000138000,1,real,3,0
140,1751000139000,1,real,3,0
141,1751000140000,1,real,3,0
142,1751000141000,1,real,3,0
143,1751000142000,1,real,3,0
144,1751000143000,1,real,3,0
145,1751000144000,1,real,3,0
146,1751000145000,1,real,3,0
147,1751000146000,1,real,3,0
148,1751000147000,1,real,3,0
149,1751000148000,1,real,3,0
150,1751000149000,1,real,3,0
151,1751000150000,1,real,3,0
152,1751000151000,1,real,3,0
153,1751000152000,1,real,3,0
154,1751000153000,1,real,3,0
155,1751000154000,1,real,3,0
156,1751000155000,1,real,3,0
157,1751000156000,1,real,3,0
158,1751000157000,1,real,3,0
159,1751000158000,1,real,3,0
160,1751000159000,1,real,3,0
161,1751000160000,1,real,3,0
162,1751000161000,1,real,3,0
163,1751000162000,1,real,3,0
164,1751000163000,1,real,3,0
165,1751000164000,1,real,3,0
166,1751000165000,1,real,3,0
167,1751000166000,1,real,3,0
168,1751000167000,1,real,3,0
169,1751000168000,1,real,3,0
170,1751000169000,1,real,3,0
171,1751000170000,1,real,3,0
172,1751000171000,1,real,3,0
173,1751000172000,1,real,3,0
174,1751000173000,1,real,3,0
175,1751000174000,1,real,3,0
176,1751000175000,1,real,3,0
177,1751000176000,1,real,3,0
178,1751000177000,1,real,3,0
179,1751000178000,1,real,3,0
180,1751000179000,1,real,3,0

=== CRASH MARKERS ===
id,loopId,actualCrashAtMs,detectedAtMs,detectionLatencyMs,detectedEventId,note,createdAt
